,episode,score,avg_score,epsilon,loss,avg_loss
314,314,-776.3685091571956,-370.7007883795918,0.01,182.73687744140625,250.19807587146758
315,315,-159.6753624629296,-369.11870356814524,0.01,72.24285888671875,250.59206097126008
316,316,-604.2257485615216,-371.5538978319455,0.01,419.6452941894531,254.5267851305008
317,317,-459.0958816399263,-373.1114299225638,0.01,467.9565124511719,258.9135052728653
318,318,-447.6595725491397,-375.0183100993298,0.01,458.2503662109375,262.7511506128311
319,319,-305.1297962469416,-373.64397174709563,0.01,35.686439514160156,262.9656597471237
320,320,-280.69421447256866,-374.45666459064506,0.01,51.10425567626953,258.86445254802703
321,321,-345.45816120192427,-376.8480001785628,0.01,52.14582061767578,258.730745806694
322,322,-274.8499096387312,-376.6204054180067,0.01,458.2593688964844,263.2696037387848
323,323,-250.24322003772295,-377.852577412478,0.01,79.33296966552734,263.9083313846588
324,324,-432.2473847868429,-379.5382009254752,0.01,34.19276428222656,260.85248620033263
325,325,-441.23683378901137,-381.330952849083,0.01,458.57159423828125,259.18961144447326
326,326,-389.08479959810006,-383.9517822542212,0.01,413.1899108886719,263.1442391872406
327,327,-369.2157571245158,-385.02742411056636,0.01,16.905363082885742,263.2685434770584
328,328,-336.9175770725476,-386.9557386039004,0.01,1111.283935546875,269.6621778154373
329,329,-564.1244414783093,-390.6743805301073,0.01,469.0777893066406,263.59092689990996
330,330,-292.22368355457684,-389.07785388293377,0.01,55.93824768066406,264.0739409351349
331,331,-384.4495602602476,-389.2277160746944,0.01,725.6717529296875,270.6129607868195
